
 Lista de Imóveis da Caixa;;Data de geração:;27/10/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444405479957 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA E, N. 53,  CS ;82.081,91;140.200,00;41.46;Casa, 99.30 de área total, 99.30 de área privativa, 160.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405479957
 8555504185139 ;AL ;ARAPIRACA ;PLANALTO ;RUA ATENOR FEITOSA, N. 193, LT 08 ;105.610,35;180.000,00;41.33;Casa, 0.00 de área total, 71.08 de área privativa, 169.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555504185139
 8444404538437 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA G, N. 212, LT50 LOTEAMENTO RECANTO DA BOA VISTA ;110.621,14;185.000,00;40.21;Casa, 0.00 de área total, 94.40 de área privativa, 171.78 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404538437
 8444405471964 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA F, N. 55, ;103.578,49;172.010,35;39.79;Casa, 0.00 de área total, 120.73 de área privativa, 181.20 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405471964
 10214193 ;AL ;ARAPIRACA ;PRIMAVERA ;RUA MANOEL MARTINS LEMOS, N. 580 ;247.277,95;388.000,00;36.27;Galpão, 0.00 de área total, 234.85 de área privativa, 255.85 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214193
 1444404516206 ;AL ;ARAPIRACA ;NOVA ESPERANCA ; RUA JOSÉ CÍCERO ALÉCIO DA SILVA, N. 208, ;241.500,00;241.500,00;0.00;Casa, 99.40 de área total, 99.40 de área privativa, 160.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404516206
 8444425174590 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA ANTONIO OTAVIO DE OLIVEIRA, N. 401, LT 12 QD Z ;240.000,00;240.000,00;0.00;Casa, 80.00 de área total, 80.68 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425174590
 1444409062467 ;AL ;ARAPIRACA ;SAO LUIZ ;RUA PEDRO VIEIRA SAMPAIO, N. 312, ;445.000,00;445.000,00;0.00;Casa, 146.10 de área total, 146.10 de área privativa, 249.75 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409062467
 1444407443978 ;AL ;ARAPIRACA ;SAO LUIZ ;RUA ADVOGADO MARIO CORREIA MACEDO, N. 103, LT 11 ;442.459,03;428.000,00;0.00;Casa, 150.68 de área total, 150.68 de área privativa, 330.60 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407443978
 1444417853869 ;AL ;BARRA DE SANTO ANTONIO ;CENTRO ; RUA EM PROJETO 01, N. SN, QD M LT 39 ;344.149,72;540.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1350.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417853869
